InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,PaymentMethod,IsDiscounted,TotalAmount
189674,70327,Quality-focused actuating approach,8,2023-06-18 14:48:31.780706,89.79,25285,Nicaragua,PayPal,True,646.49
64145,86786,Reactive holistic encryption,4,2023-11-25 20:59:42.285805,53.26,2106,Reunion,Cash,False,213.04
234612,43632,Horizontal grid-enabled focus group,1,2023-09-15 06:28:34.129252,20.26,14315,Guadeloupe,PayPal,False,20.26
652809,32206,Optional uniform application,2,2023-07-01 15:37:28.911531,76.66,46339,Congo,Cash,False,153.32
344654,99383,Multi-lateral encompassing architecture,1,2023-09-12 03:48:53.060376,4.96,78064,Vanuatu,Cash,True,4.46
594277,26195,Persevering leadingedge capability,5,2024-03-17 00:17:22.262049,91.45,83420,Solomon Islands,PayPal,True,411.53
715421,26907,Reactive fault-tolerant parallelism,8,2023-07-09 02:30:46.072517,29.24,57714,Bahamas,Visa,True,210.53
273690,58813,Stand-alone stable solution,6,2023-11-12 08:49:22.719966,9.35,13763,Georgia,Visa,True,50.49
175217,32962,Function-based 3rdgeneration product,1,2023-10-13 09:06:49.793844,2.93,64696,Holy See (Vatican City State),Mastercard,True,2.64
327271,26793,Integrated neutral infrastructure,1,2023-12-17 23:35:10.793319,52.38,50387,Gabon,Visa,True,47.14
2542,74015,Visionary tangible frame,8,2023-11-25 16:14:17.412444,47.27,23697,United Kingdom,PayPal,False,378.16
977766,4617,Centralized even-keeled application,9,2023-05-24 11:58:21.793469,53.47,72954,Hong Kong,Cash,True,433.11
775915,34974,Implemented encompassing Local Area Network,4,2023-05-04 23:59:19.034554,30.86,44096,Portugal,Mastercard,True,111.1
84188,33114,Diverse tertiary orchestration,9,2023-12-24 19:23:31.083381,5.82,68887,Canada,Visa,False,52.38
682175,8460,Right-sized bi-directional protocol,5,2023-12-29 18:24:33.268291,16.82,3776,Turkmenistan,PayPal,False,84.1
872025,16648,Re-engineered regional time-frame,3,2023-08-14 18:41:11.900594,46.49,46062,Finland,PayPal,False,139.47
330433,29932,Team-oriented tertiary budgetary management,4,2024-01-30 21:29:41.746395,51.31,88020,Ireland,Visa,False,205.24
915156,13185,Reverse-engineered didactic matrices,4,2023-09-15 12:22:03.368481,77.67,46226,Taiwan,PayPal,False,310.68
313235,10667,Vision-oriented bandwidth-monitored standardization,7,2023-05-27 01:56:44.730690,65.21,90449,French Southern Territories,PayPal,False,456.47
56331,92801,Balanced user-facing portal,7,2024-01-02 03:36:32.325296,35.78,8059,Sao Tome and Principe,Mastercard,True,225.41
826237,9858,Phased zero administration toolset,2,2023-08-16 05:24:08.787938,83.97,8222,Estonia,Cash,False,167.94
146335,41390,User-friendly discrete archive,5,2024-02-13 03:00:55.113479,86.58,96940,Guyana,Cash,False,432.9
812978,2045,Progressive leadingedge standardization,4,2023-05-03 04:18:27.284032,58.67,89336,Cyprus,Cash,True,211.21
903824,77019,Expanded logistical Internet solution,1,2024-02-01 03:22:21.536440,33.2,54615,Libyan Arab Jamahiriya,Mastercard,True,29.88
442708,40133,Self-enabling systemic access,4,2023-05-08 20:48:34.441880,32.84,71535,Czech Republic,Cash,False,131.36
122643,93904,Programmable bi-directional support,7,2023-11-05 15:14:08.787088,49.53,69204,Cocos (Keeling) Islands,PayPal,False,346.71
390919,97007,Progressive neutral toolset,6,2023-06-13 07:22:15.886923,21.14,18320,Canada,Mastercard,True,114.16
578541,98879,Multi-lateral interactive analyzer,9,2023-08-26 01:18:27.027669,21.33,10197,Portugal,Cash,False,191.97
17462,7742,Balanced zero-defect attitude,10,2023-10-13 13:06:26.716273,74.79,95157,Niue,Cash,True,673.11
317559,59643,Realigned hybrid support,10,2023-06-03 08:50:03.160842,84.54,51017,Djibouti,PayPal,True,760.86
739176,2355,Grass-roots 4thgeneration Local Area Network,1,2024-01-01 08:37:02.039716,95.67,3795,Saint Barthelemy,Mastercard,False,95.67
805341,41443,Focused content-based moderator,1,2023-06-15 05:09:30.958085,90.82,68760,Russian Federation,PayPal,False,90.82
872995,63014,Configurable bifurcated collaboration,1,2024-01-02 07:16:17.512464,55.14,36940,Guam,Mastercard,True,49.63
836128,47294,Operative motivating methodology,4,2023-09-28 14:55:24.505472,89.69,54051,Libyan Arab Jamahiriya,Mastercard,False,358.76
846408,69585,Implemented 4thgeneration Local Area Network,10,2023-05-26 11:43:02.732826,36.29,43451,France,PayPal,True,326.61
764508,98204,Virtual system-worthy help-desk,9,2023-12-28 04:43:51.333407,61.59,99523,Bangladesh,Visa,False,554.31
77909,87817,Self-enabling systematic standardization,3,2024-04-12 02:57:57.586744,85.32,95607,Suriname,PayPal,True,230.36
546019,28095,Multi-layered coherent success,2,2023-07-05 20:57:27.221708,19.66,43662,San Marino,PayPal,False,39.32
103680,69222,Progressive 6thgeneration conglomeration,2,2023-12-20 16:06:32.915135,76.19,75725,Malta,Mastercard,True,137.14
88355,43596,Operative client-server implementation,3,2023-09-12 06:22:16.849266,67.92,47138,Zambia,Visa,True,183.38
474662,35662,Multi-layered transitional forecast,7,2023-07-22 20:47:48.732560,40.86,20948,United Arab Emirates,Mastercard,True,257.42
582928,62169,Open-source dynamic benchmark,9,2023-06-08 06:17:34.760909,71.01,4079,Estonia,Mastercard,True,575.18
789813,41277,Integrated bottom-line info-mediaries,4,2024-03-04 09:52:03.382335,63.93,79057,Saint Vincent and the Grenadines,PayPal,True,230.15
952674,22064,Total impactful product,2,2023-11-12 08:37:40.546833,28.58,70875,Seychelles,Cash,True,51.44
949543,51780,Virtual scalable functionalities,6,2023-05-12 02:09:22.043184,53.88,53413,Mali,PayPal,False,323.28
642647,91875,Front-line intangible productivity,5,2023-10-14 20:39:32.413757,41.04,64896,Uruguay,Cash,True,184.68
263212,53507,Focused explicit monitoring,10,2024-04-21 05:52:49.397857,43.27,18071,Pitcairn Islands,Cash,True,389.43
891113,6514,Re-contextualized analyzing middleware,1,2024-03-27 10:29:30.753880,10.15,39376,Korea,Visa,False,10.15
658380,2559,Configurable dynamic conglomeration,9,2024-03-07 19:57:50.426974,96.12,85063,Congo,Visa,True,778.57
